Frequency,Measure,Balance sheet position,Type of instruments,Currency denomination,Currency type of reporting country,Parent country,Type of reporting institutions,Reporting country,Counterparty sector,Counterparty country,Position type,Period,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,D:Domestic currency (ie currency of bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),R:Local,Q:S:L:A:TO1:D:5J:A:5A:A:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38194678.27,39392966.1,40224175.35,39032312.98,38955122.58,41158923.65,59425825.28,60289353.45,60836614.46,56938899.64,55629125.26,53208531.88,54145208.07,53433818.89,53811788.33,57027894.99,58405250.12,59175987.93,55627098.25,58771196.68,60717323.08,62157275.96,63601022.95,66657360.23,63531739.35,62819811.44,63363017.66,64041445.49,65203046.86,64262406.45,65490509.36,65441888.94,69932682.58,73074720.05
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,4W:Developing Africa and Middle East,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:U:4W:N,4971,5470,5550,5777,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0,0,1,239,185,119,132,144,160,186,210,265,316,407,536,457,391,480,469,323,267,234,308,255,516,398,483,436,759,658,210,176,160,203,192,224,291,359,387,476,705,780,922,1131,921,751,825,768,790,921,915,466,822,933,1144,1045,397,4347.491,5447.445,5977.176,5525.853,5430.142,7542.852,5189.872,6215.774,4242.812,4377.314,8925.09,10077.541,8528.522,8235.674,9546.873,9371.082,8082.762,8484.22,4355.367,8879.687,8850.815,8191.43,7462.615,8323.815,7383.922,7662.14,7128.525,7941.949,7922.119,7517.917,7114.995,6958.658,6714.592,6640.167
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:L:A:GBP:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75455.137,148948.809,170266.527,161823.57,181258.36,174048.063,183255.814,174029.739,179709.585,179423.656,169455.566,163017.842,160012.959,162237.54,171624.274,177137.596,179282.749,187876.806,186297.152,187127.161,171542.274,177280.947,175252.876,173986.743,176236.264,176948.974,182418.127,185776.966
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",3C:Developing Europe,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:N:3C:N,2484,1561,1633,1604,1750,1655,1828,1859,2109,1669,1956,1968,1880,1762,1746,1741,2046,1861,1798,2018,2365,2296,2120,2064,1663,1625,1643,1561,1650,1780,1894,2055,2117,2438,2800,2853,3193,3276,2964,2845,2906,2951,2817,2858,3179,3442,3320,3908,7047,7285,8226,8448,9302,8318,7954,8416,9793,9924,11005,12510,12193,12360,12540,13360,13435,13882,14383,15141,15810,17329,17318,18109,19386,18954,19339,19376,19578,19443,19431,20489,20654,21109,21143,22430,22961,24570,23348,23908,23887,22745,22397,22171,23197,24501,24261,24900,27649,30006,29355,28066,29112,31232,32075,32372,33010,34058,33676,32840,36014,36927,38343,42051,45635,49567,50888,57703,63068,64745,65531,73031,75793,78681,88033,87084,91686,98672,97789,99949,93361,90067,84688,92826,98367,92704,92304,84678,82970,90301,85996.738,87100.362,89514.933,88429.701,82753.158,87852.33,85259.073,92234.421,88972.869,90514.777,95932.464,95221.412,94989.956,91275.713,91474.66,90574.07,89776.723,94301.665,83547.278,94010.078,95219.863,92356.475,90054.659,95171.148,92130.128,95284.921,92800.787,105220.706,105491.144,103121.073,106227.849,107151.885,103613.338,108231.048
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,U:Unallocated by instrument,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:C:U:TO1:A:5J:A:5A:B:5J:N,445412,443185,458643,505129,651651,635989,687414,760597,810256,815916,867329,896027,962462,987048,982580,1037879,1116246,1123836,1124180,1163252,1198837,1208231,1202449,1213009,1435660,1468204,1488045,1450774,1487669,1547205,1552243,1636272,1783766,1846948,1949968,2160665,2370899,2484090,2640995,2810796,3112080,3126807,3106709,3275812,3377528,3493029,3418973,3639741,4066100,4064407,4125802,4453018,4673040,4384728,4198501,4299845,4539557,4317113,4402328,4682394,4410531,4419644,4330350,4512633,4505439,4609281,4687385,4853175,4979107,5408560,5549554,5462547,3,169,0,-1,1,28,67,46,0,56,-124,68,0,58,26,-4,0,0,0,-41,0,-5,4,5,16,295,-5,22,4,-2,-14,5,13,-16,-115,6,1,-17,18,4,10,2,10,-18,-1,-1,-21,1,-43,14,18,-12,-28,6,-25,-19,21,11,20,-16,-122,27,30,19,17,6,-7.003,-16,-10.843,-0.982,-4.035,183862.648,176040.431,172782.051,172248.706,157132.189,148335.889,134365.783,131314.452,126312.716,130844.918,129603.768,128766.104,129261.723,132128.049,134345.278,143610.96,152784.725,163673.179,163296.618,169007.537,173189.926,188048.143,195908.396,202428.415,216909.815,238877.74,202222.021,179431.328,165431.435
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,D:Debt securities,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:C:D:TO1:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561499.318,791644.802,885435.054,807457.251,846302.435,812843.186,815185.114,804157.105,826574.09,840548.134,809983.498,781436.52,720381.552,752281.529,778916.69,759512.813,717095.469,744698.455,749613.228,765991.609,747478,796907.718,827657.701,847153.813,815233.262,852650.266,901508.99,913884.259
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,"M:Debt securities, short-term",TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:L:M:TO1:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35979,37204,43737,42459,41138,37706,44232.44,42642.44,114927.784,95757.596,90584.256,89459.594,98316.944,100479.372,103159.969,98098.992,98163.648,99621.233,103980.953,100745.545,91452.82,89757.917,83107.813,85058.356,83916.135,70656.4,75952.47,78488.649
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),U:Unallocated,Q:S:C:A:TO1:A:5J:A:5A:F:5J:U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.084,667.942,1905.105,945.962,2763.517,804.426,718.181,643.69,3058.057,2831.025,622.526,647.839,586.805,654.818,613.47,522.15,1667.613,1035.776,1082.907,1283.482,1263.465,1465.55,1170.821,1403.06,1245.621,1506.884,1484.943,717.355
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5C:Euro area,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:B:5C:N,140419,136535,141872,155671,200664,186377,200935,216156,248501,233127,252765,252774,277096,273095,255109,256767,287784,273130,264190,268271,298311,284277,281536,277285,315377,312083,305630,296436,311224,321473,323660,344452,387032,398738,422607,454933,497023,520145,544254,550201,623469,619418,593882,609083,624755,655454,660261,672917,846301,914037,936938,1033422,1085205,1012972,970495,998064,1062663,1010839,1080542,1189575,1058586,1083389,1048492,1073942,1074237,1088810,1130728,1208321,1249149,1436334,1437416,1408764,1416856,1463744,1424669,1449701,1443663,1443142,1451946,1483309,1556981,1679222,1769246,1928547,1967639,2014142,1974136,2127793,2040410,2167188,2138527,2030251,2182742,2368426,2302316,2406657,2355604,2333910,2578937,2619852,2786751,2979567,3179330,3212623,3570989,3758847,3798654,3918841,4334178,4562754,4469312,4528449,4614495,5032768,5324313,5440394,5800338,6255201,6656262,7120058,7578134,8450874,8611047,7953513,7109042,6634891,6936397,6986199,6785167,6451433,6100117,6657953,6042617,6212191,6295832,6185762,5625456,5878756,5314429.422,5253643.977,5128213.539,4844453.853,4755063.687,4703805.097,4650788.902,4769147.974,4843283.551,4505774.924,4418926.896,4210393.431,4122246.638,4129003.456,3908222.653,4163321.272,4177248.664,4122353.46,3919006.076,4072173.534,4203581.701,4298344.82,4365565.828,4448165.065,4332378.438,4335215.591,4249251.467,4552780.213,4701187.87,4617949.786,4390848.371,4758637.587,4674816.344,4783708.239
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",4Y:Developing Asia and Pacific,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:B:4Y:N,17358,17176,17699,18581,21008,22660,23375,24600,26113,25828,29140,31088,29407,28720,28256,29644,31194,30377,31695,33211,34677,35901,35703,36712,41694,44699,45741,47281,50346,50315,48278,50466,51063,54083,54173,62615,69636,74675,78516,76928,82616,84757,78263,79712,80253,79635,74070,80727,88622,92217,92239,105774,120255,111705,109485,110482,131407,122539,127640,140907,128612,121648,115826,123737,135286,134704,139911,150269,156586,154885,155798,161695,159297,162703,172169,165812,174726,179958,178771,179660,182929,189760,185527,178831,175295,151310,149432,159174,159101,180318,187120,197123,211752,219126,226796,219650,208941,216114,223501,213212,203467,210078,196774,217128,235932,353028,359470,374786,373357,367404,354285,383785,385875,406950,427231,461555,486141,512510,523807,546281,615487,576724,485387,491846,460027,491256,459552,441945.5,434404,420467,415514,465781,463959,466155,485851,465649,524538,599672,595438.402,586012.616,534455.808,564905.946,524575.476,543802.048,574593.107,605528.071,708589.487,705925.079,733751.937,796264.095,808076.308,874588.657,845889.292,900259.001,896830.18,970498.866,929481.016,1002732.599,985346.34,977162.986,978793.194,1040697.966,1013875.679,1021956.423,1025243.612,1094265.672,1102092.062,1079262.278,1073836.874,1142459.568,1149391.983,1207969.17
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",1N:Offshore centres,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:I:1N:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245309.886,1245599.927,1210936.543,1233804.014,1310010.581,1201824.742,1283547.749,1663281.849,1610520.469,1651896.464,1786570.088,1796887.442,1754175.235,1712930.149,1645961.618,1646888.295,1629523.604,1631299.595,1525491.896,1583374.227,1540671.612,1631042.92,1624852.749,1559307.445,1560649.407,1513863.857,1453345.973,1415860.03,1388765.606,1378063.343,1410215.136,1492277.857,1411651.468,1450888.031
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5R:Developed countries,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:F:5R:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554727.008,2652753.02,2838867.073,2751243.117,3309331.723,3295199.566,3218043.739,3208171.963,3121511.731,3335921.495,3409679.528,3527167.139,3207366.628,3475536.493,3670683.26,3703556.468,3729558.334,4129216.451,4252288.84,4212644.935,4348262.772,4462467.105,4620703.513,4735492.485,4601850.651,5209013.164,4984689.292,5077966.478
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:C:A:GBP:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,2389,2308,2319,2455,2816,2741,2543,3670,4339,5079,4516,5103,5783,5782,6310,7626,7672,10511,11187,11751,13652,14098,13798,10561,12250,11630,13597,14567,15952,18381,20775,20930,16739,16580,17107,16800,20537,23337,19282,17119,17470,17952,18801,17253,18161,21590,24845,29657,32746,31517,33884,29964,29708,33835,46769,50371,57879,49776,61872,67260,66951,79658,89617,81097,84821,85626,88804,106079,104435,105141,104967,104007,93417,113282,113475,99686,101475,97552,112488,104101,118986,109585,134589,155834,149728,98047,110132,118321,118745,112369,134518,146357,174703,163810,194030,337229,332898,324147,410648,401198,313752,292076,253740,259414,279733,204684,200134,217789,278463,295681,263924,218783,226259,224267,198008,221999,419748.565,496635.399,574799.541,503084.664,512740.94,554076.385,551961.587,573280.489,603932.067,575447.198,547518.151,550194.408,585930.199,595071.38,576289.781,510743.299,481163.777,488478.223,459734.712,454850.757,482597.531,467952.317,473626.969,477669.612,446246.322,451095.17,431171.174,428868.942,413700.044,405829.347,436269.507,444562.473,463352.486,454719.362
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,"M:Debt securities, short-term",TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:L:M:TO1:A:5J:A:5A:A:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419238.339,429470.192,449094.03,457273.743,464123.457,445100.389,432088.404,442833.866,509924.011,511409.582,489104.722,496857.026,518895.392,526013.309,562013.725,578226.449,694868.955,702022.105,695885.22,681217.641,690814.751,691178.873,690135.991,672794.504,686269.736,635966.711,654368.915,673185.78
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,$TO1-USD-EUR-JPY-GBP-CHF-UN9,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:C:A:$TO1-USD-EUR-JPY-GBP-CHF-UN9:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,...,...,1436,1967,2435,2439,3599,2519,2395,2644,2245,3415,3686,3330,3213,4702,3796,4031,4299,4054,2494,1969,1514,1627,1632,2031,2766,2902,3416,3417,4111,3630,3864,5382,6388,4043,5486,5261,3851,5196,5576,5038,4423,5697,6993,7188,8339,6882,6960,7381,10098,9355,13525,12779,31216,36400,34859,31107,30131,29625,28301,31642,31717,29469,30178,31771,31281,32568,33231,32392,32613,22133,23188,29272,28831,32363,30938,36368,41959,47504,55673,57446,76883,74700,73159,74057,77610,82200,76552,78800,79176,72663,81466,85323,95663,105462,121115,131028,135765,135149,121101,120947,108745,101034,115474,141945,137191,137021,125298,142326,130684,128737,134358,139889,130221,140513,193665.527,206863.221,204197.167,196517.478,184906.982,199554.095,259612.352,248168.038,251118.115,231207.1,325811.647,319920.5,321659.492,284756.914,268873.551,285118.718,290703.844,287287.57,306017.587,319896.976,342198.55,327262.964,380316.171,386971.786,388602.694,385689.849,398442.244,376014.253,376679.912,372591.34,364353.463,394640.869,389773.284,415894.901
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",1N:Offshore centres,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:I:1N:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828766.456,763981.487,783225.624,749834.784,766102.387,703079.309,846951.892,1153857.191,1178071.487,1144916.812,1480556.788,1407603.755,1378199.483,1359492.473,1336846.171,1295192.063,1319799.004,1325926.973,1321198.035,1358297.011,1348972.212,1364774.009,1478874.55,1526468.513,1510150.366,1426945.986,1418449.326,1384899.359,1372902.621,1364116.511,1418181.339,1485263.93,1323090.738,1331020.275
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005797.504,3444558.283,3677786.659,3609503.269,4644557.156,4678056.002,4626944.43,4686999.29,4577277.621,4872926.211,4999958.686,5145550.869,4759479.975,5110925.443,5340944.833,5433110,5489736.859,5998825.624,6141919.328,6157188.028,6355256.653,6690067.696,6898161.509,7060784.063,6835160.866,7612118.96,7350417.369,7475112.942
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",4U:Developing Latin America and Caribbean,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:N:4U:N,5518,5346,5141,5851,13605,14936,15470,15970,17102,18399,19774,19578,22250,25015,24855,25953,27671,28475,28380,29071,29148,30402,30664,32224,49395,51124,51761,53169,54493,57420,58537,61089,63076,62865,63222,63770,63645,62722,63989,64913,66853,69596,71288,71945,73459,75069,76004,77751,93320,97689,99315,102763,104642,103872,102152,103418,104546,100454,97266,98744,94725,92092,88739,90618,86570,88520,93048,94927,96619,99927,101304,104001,107175,110134,110809,110846,110111,114778,118541,118705,119528,117920,115719,117103,117230,115267,115455,117867,121465,116890,118649,121295,124371,133503,131857,130329,131948,133273,131204,131801,131618,140250,149334,153887,156503,162386,162996,160405,172484,170420,167988,168793,168586,180010,178622,186348,192457,199811,207008,211499,224560,220820,220132,222094,227877,222558.5,229767,227474,226628,226736,227298,234297,233326,241840,246213,246987,246239,254129,249301.25,246041.733,248006.094,247798.267,250055.804,261889.342,271830.647,262670.382,274581.09,281359.344,253004.452,254164.588,244525.68,256620.503,246798.274,250925.961,237307.383,235055.246,222448.22,225774.154,225359.566,217289.063,211623.917,215255.585,215144.385,205426.133,199136.464,196263.438,205016.455,203603.89,204318.21,225707.803,218528.342,218083.038
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:C:A:CHF:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,2385,2986,3052,2665,1696,2073,2295,2788,2140,4078,3844,5185,5345,5616,5924,5522,5497,6771,5546,4820,4678,3608,4513,3207,7243,9737,11007,13865,13514,11974,11270,12072,22579,18586,21500,23721,19802,17908,17368,17650,17931,17650,18721,20473,17383,19023,22879,22736,23286,21050,23834,21471,24439,24728,26465,34128,29676,28487,33795,30211,26427,30074,24061,19289,16200,21283,8855,11088,12845,16758,10884,12788,12508,12479,12247,10572,11936,11316,10869,10266,11344,9581,11761,11337,10645,10882,10010,9751,9045,14866,16668,12323,12633,11710,12913,15521,10492,11292,10696,9446,8646,7437,7553,7715,7153,7456,7072,11730,7596,7868,7343,11740,24068,10526,151966.072,165715.541,168696.378,161520.178,139137.5,184417.48,197641.41,202462.921,200515.7,220468.989,210493.081,219982.111,196668.916,185498.675,174338.591,150475.489,171062.935,162233.155,148649.296,159760.416,173993.077,158324.568,173468.777,160273.826,151213.423,163931.53,156532.773,152524.136,158349.543,171781.945,210217.475,201102.127,166070.095,178211.407
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,I:Derivatives and Other instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:I:TO1:A:5J:A:5A:U:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,647,614,621,530,528,520,16940,18161,17191,15400,21396,19642,19970,19241,21522,18835,21568,21676,24505,21230,25416,24,0,-2,31142,30331,29774,37246,44034,44995,6069,35427,35707,36781,40005,37400,35415,35825,27992,36353,30243,38571,40343,65047,69175,73539,98474,105661,101786,94464,221190,229395,230416,239628,205276,200136,423411,248978,201673,183740,186394,513984,470602,482518,519164.294,547875.82,447984.155,423945.009,380415.841,380438.238,428648.771,463914.472,470127.589,488789.441,492338.726,504857.99,430109.059,446876.089,406659.79,464076.834,468084.004,452531.574,410337.158,485246.751,491992.577,496660.961,484190.423,473770.28,454830.335,422478.052,453356.235,505301.165,566090.035,622767.457,547629.172,632131.343,625907.555,632064.191
